bjd,rv,e_rv,pre_rv,pre_e_rv,sn18,exptime,berv,qprog,airmass,filename,dLW,e_dLW,crx,e_crx,ln_order_center,irt_ind1,irt_ind1_e,irt_ind2,irt_ind2_e,irt_ind3,irt_ind3_e
2458396.722251017,14.469444691420883,23.193713653490107,105.3121639245739,9.24963810513731,24.34900665283203,308.85,-13.481025534344228,PSU18-3-008,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20181005/0014/Slope-20181005T050836_R01.optimal.fits,-62.148136648280655,63.54415603457129,582.6345940079378,700.5381121399506,2,0.8310330011875615,0.09989504861587487,0.8742893140918737,0.09586395764022726,0.6905628956068978,0.08422975433258337
2458399.7009138307,-19.92076823998359,32.02894258300705,410.26733523328204,10.650105898209862,20.357194900512695,308.85,-14.813106903709587,PSU18-3-008,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20181008/0011/Slope-20181008T043801_R01.optimal.fits,691.1268331561279,83.19544829975366,1074.7461453523706,394.4097529153109,5,0.845608115889336,0.13946699940040522,0.3786244963096632,0.08004665863291424,0.9052707878453988,0.09834112235057345
2458399.7049011267,47.80319441088046,40.18285350044154,252.22988578871042,8.407111056103487,16.560344696044922,298.2,-14.824917888651013,PSU18-3-008,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20181008/0012/Slope-20181008T044355_R01.optimal.fits,208.64355350018903,108.70940696383401,489.80240724198643,912.34287385715,6,1.276857577070896,0.3915866330438852,0.662755014856614,0.11874495068290752,0.7042852413114844,0.16403705023430107
2458399.709024449,24.661510719280965,34.83691721530401,410.49551250183424,8.947527885122692,18.372482299804688,298.2,-14.837142984692045,PSU18-3-008,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20181008/0013/Slope-20181008T044937_R01.optimal.fits,182.5795084257851,94.18767612616068,-1406.791415007715,856.8129263010646,9,1.5467035868012233,0.2576659303159272,0.4539682508902788,0.23538623954274104,0.4851860377154393,0.11690643560482744
2458399.7125183027,-10.85524189145527,53.87788271144329,1015.2251039025297,7.766439217977749,12.726128578186035,308.85,-14.847505556029047,PSU18-3-008,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20181008/0014/Slope-20181008T045517_R01.optimal.fits,306.95351450019433,144.5814322586638,1042.77257983744,1348.7250968726712,5,-2.6392423894091115,-2.3930657390653756,-0.3630945557335689,-0.35701164363159615,0.6374905003644745,0.1108902516186011
2458403.69410705,26.99041806003267,32.47606388172944,168.41610217354298,6.917780387854213,18.96137237548828,415.35,-16.5931483982266,PSU18-3-008,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20181012/0014/Slope-20181012T042604_R01.optimal.fits,26.297790863619685,88.38465889265304,-183.58345707803034,300.5685257726759, ,0.7348504814236619,0.17057256722076858,0.6400726003517418,0.10575840021992779,0.6198680279147879,0.10072281764889222
2458403.6983981347,19.315558420155845,11.63357856346137,-76.63401899821717,5.99096914370348,43.813232421875,415.35,-16.605789444754812,PSU18-3-008,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20181012/0015/Slope-20181012T043346_R01.optimal.fits,-71.21414546174836,31.608878018824928,160.33794402016474,297.16648763795166,9,0.8583135191123163,0.04664073354825923,0.5631737322582112,0.04351561990582282,0.6026781911455558,0.034283756180571924
2458403.703712449,11.084012859520962,11.30943219007685,-5.615765718808653,6.457556035285293,45.16117858886719,415.35,-16.621449316944556,PSU18-3-008,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20181012/0016/Slope-20181012T044123_R01.optimal.fits,-85.67729451570179,30.77639346653255,467.69778619951927,224.10301274390596,.,0.987362220404367,0.04200576447179333,0.5482003671759709,0.04241679070410019,0.6203373191072168,0.03160305639534436
2458403.70904545,-4.719363592171491,15.610783652330618,74.64486249597613,8.071108604350734,34.560707092285156,415.35,-16.63715516021067,PSU18-3-008,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20181012/0017/Slope-20181012T044906_R01.optimal.fits,-11.791265169723207,42.32623880033624,460.98162346927137,669.5430167829622,0,0.745268134888843,0.06581325144500605,0.5651314319741452,0.05666432439964046,0.6599067409670034,0.0459907543411876
2458403.713733166,46.91333480191916,30.395839975460166,152.39200013103704,9.259530795384585,20.31707000732422,415.35,-16.650941124788293,PSU18-3-008,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20181012/0018/Slope-20181012T045643_R01.optimal.fits,58.91807710229816,82.72765433768144,374.1641483383598,810.242812028148,3,0.9319503395263153,0.16157229192224842,0.8382462718925033,0.15369949118343587,0.4265086035774295,0.14008728353682331
2458426.6240253705,-2.996204046232868,20.067859492100002,11.21458238810959,8.108674335757444,29.007354736328125,308.85,-25.019245895620173,PSU18-3-008,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20181104/0007/Slope-20181104T024948_R01.optimal.fits,35.705378175859934,55.091979739860285,-198.94959404155924,355.93688351404893,0,0.9505826703757446,0.09032256707154379,0.42127694433118157,0.07570578624658432,0.5880197019034014,0.061861444259239236
2458426.6280158926,40.77587959668825,16.242574382707723,11.358725054901846,8.97158761482143,34.48886489868164,308.85,-25.030441298076394,PSU18-3-008,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20181104/0008/Slope-20181104T025530_R01.optimal.fits,-35.97773894757467,44.64452677878897,-47.208004911240174,314.7020473951575,8,1.1519307417406484,0.073473189410371,0.8422632683407733,0.07473692791226633,0.6122536139444373,0.04751420377495928
2458426.6319277068,-24.04054047176986,14.29827103727118,28.896650249076675,6.200608747859978,38.659828186035156,308.85,-25.041428344657213,PSU18-3-008,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20181104/0009/Slope-20181104T030110_R01.optimal.fits,-31.62474472320591,39.31630133083057,-152.4019681265829,292.36599999516017,6,0.8818035794060934,0.05882549728522762,0.5316415156109251,0.055471459740538916,0.5938939623085286,0.045571825142258854
2458426.635824441,-26.89231759478942,12.955121969227479,40.8152325519901,7.375906515347811,42.015899658203125,308.85,-25.052379331566343,PSU18-3-008,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20181104/0010/Slope-20181104T030652_R01.optimal.fits,-16.388871039196335,35.484736383448464,216.46605901013433,222.74023734581834,2,0.9502438478682351,0.05582007867041489,0.6401912119406415,0.05215819707046644,0.5525854882939377,0.040949242637500646
2458426.6398015697,-10.903548085647508,13.760029930655685,69.8551324075276,7.599133045928221,39.653038024902344,308.85,-25.063556593568507,PSU18-3-008,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20181104/0011/Slope-20181104T031232_R01.optimal.fits,-90.71035236907468,37.83498157695212,77.8730228111689,317.318766295711,7,0.9581898130191052,0.0570160331255728,0.8050245239955706,0.06367934706850747,0.6589848573353397,0.04009539451303896
2458426.6436732234,31.620437663101338,15.641671992574297,5.7891922156683515,8.747237249063524,36.54035949707031,308.85,-25.074431825361586,PSU18-3-008,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20181104/0012/Slope-20181104T031814_R01.optimal.fits,34.59462461066595,42.71667498680765,445.57727592762785,283.0449892455872,7,1.0475416858609012,0.06739670717726605,0.6501004982073187,0.057437534222919494,0.6432208732017075,0.04095595035915272
2458688.9024068513,19.32670140780118,47.36505983768116,186.2049645915858,12.608749797719486,14.796541213989258,308.85,20.57185541616237,PSU19-2-008,,/gpfs/group/cfb12/default/HPFData/Processed/WavelengthCalibrated_e2ds/20190724/0010/Slope-20190724T092924_R01.optimal.fits,-225.11906613905097,131.78693213115574,-864.7259732592049,774.832359123891, ,1.3225736189809445,0.30483126032756785,1.0805199671478667,0.3494040769280148,0.793098039524841,0.5193349436323442
